Position,Const,Created,Modified,Description,Name,Known For,Birth Date
1,nm0000217,2015-05-12,2020-04-08,"Known For:

Taxi Driver
Goodfellas
The Wolf of Wall Street
Raging Bull
The Departed

Next Film(s):

Killers of the Flower Moon",Martin Scorsese,Taxi Driver,1942-11-17
2,nm0634240,2015-05-12,2020-04-08,"Known For:

The Dark Knight
Inception
Interstellar
Dunkirk
The Prestige

Next Film(s):

Tenet",Christopher Nolan,Dunkirk,1970-07-30
3,nm0000233,2015-05-12,2020-04-08,"Known For: 

Pulp Fiction
Kill Bill
Inglourious Basterds
Django Unchained
Once Upon a Time ... in Hollywood

Next Film(s):

TBA
",Quentin Tarantino,Reservoir Dogs,1963-03-27
4,nm0000759,2015-05-12,2020-04-08,"Known For: 

Boogie Nights
There Will Be Blood
Phantom Thread
The Master
Magnolia

Next Film(s):

Untitled Child Actor Project",Paul Thomas Anderson,Punch-Drunk Love,1970-06-26
5,nm0000399,2015-05-12,2020-04-08,"Known For:

Seven
Fight Club
Zodiac
The Social Network
Gone Girl

Next Film(s):

Mank",David Fincher,Se7en,1962-08-28
6,nm0190859,2015-05-12,2020-05-22,"Known For: 

Y Tu Mama Tambien
Harry Potter and the Prisoner of Azkaban
Children of Men
Gravity
Roma

Next Film(s):

TBA",Alfonso Cuarón,Gravity,1961-11-28
7,nm0000229,2015-05-12,2020-04-08,"Known For:

Jaws
E.T.
Raiders of the Lost Ark
Schindler's List
Jurassic Park


Next Film(s):

West Side Story",Steven Spielberg,Schindler's List,1946-12-18
8,nm0000116,2015-05-12,2019-05-26,"Known For:

The Terminator
Aliens
T2: Judgement Day
Titanic
Avatar

Next Film(s):

Avatar 2
Avatar 3
Avatar 4
Avatar 5",James Cameron,Avatar,1954-08-16
9,nm0000631,2015-05-12,2020-04-08,"Known For: 

Alien
Blade Runner
The Martian
Gladiator
American Gangster

Next Film(s):

The Last Duel
",Ridley Scott,The Martian,1937-11-30
10,nm0027572,2015-05-12,2020-04-08,"Known For: 

The Royal Tenenbaums
The Grand Budapest Hotel
Rushmore
Moonrise Kingdom
Fantastic Mr. Fox


Next Film(s):

The French Dispatch",Wes Anderson,Fantastic Mr. Fox,1969-05-01
11,nm0327944,2015-05-12,2020-04-08,"Known For: 

Birdman
The Revenant
Babel
Amores Perros
21 Grams

Next Film(s):

TBA",Alejandro G. Iñárritu,The Revenant,1963-08-15
12,nm0000500,2015-05-12,2018-03-23,"Known For: 

Dazed and Confused
Before Trilogy
Boyhood

Next Film(s):

Where'd You Go, Bernadette?",Richard Linklater,Waking Life,1960-07-30
13,nm0426059,2015-05-12,2018-03-23,"Known For:

Brick
Looper
Star Wars: The Last Jedi

Next Film(s):

Untitled Star Wars Project",Rian Johnson,Knives Out,1973-12-17
14,nm0001054,2015-05-12,2020-04-08,"Known For: 

Miller's Crossing
Fargo
The Big Lebowski
No Country for Old Men
Inside Llewyn Davis

Next Film(s):

Macbeth",Joel Coen,The Ballad of Buster Scruggs,1954-11-29
15,nm0001053,2015-05-12,2019-05-26,"Known For: 

Miller's Crossing
Fargo
The Big Lebowski
No Country for Old Men
Inside Llewyn Davis

Next Film(s):

TBA",Ethan Coen,The Ballad of Buster Scruggs,1957-09-21
16,nm0716257,2015-05-12,2018-03-23,"Known For: 

Cloverfield
Dawn of the Planet of the Apes
War for the Planet of the Apes

Next Film(s):

The Batman",Matt Reeves,Let Me In,1966-04-27
17,nm0868219,2015-05-12,2018-03-23,"Known For: 

Hellboy
Pan's Labyrinth
The Shape of Water

Next Film(s):

TBA",Guillermo del Toro,El laberinto del fauno,1964-10-09
18,nm0009190,2015-05-12,2018-03-23,"Known For:

Mission: Impossible III
Star Trek
Star Wars: The Force Awakens

Next Film(s):

Star Wars: Episode IX",J.J. Abrams,Lost,1966-06-27
