Position,Const,Created,Modified,Description,Name,Known For,Birth Date
1,nm3053338,2016-11-19,2016-11-19,,Margot Robbie,Suicide Squad,1990-07-02
2,nm3592338,2016-11-19,2016-11-19,,Emilia Clarke,Game of Thrones,1986-10-23
3,nm5611121,2016-11-19,2016-11-19,,Millie Bobby Brown,Stranger Things,2004-02-19
4,nm0362766,2016-11-19,2016-11-19,,Tom Hardy,Inception,1977-09-15
5,nm1072555,2016-11-19,2016-11-19,,Morena Baccarin,Deadpool,1979-06-02
6,nm2933757,2016-11-20,2016-11-20,,Gal Gadot,Wonder Woman,1985-04-30
7,nm2539953,2016-11-20,2016-11-20,,Alicia Vikander,Ex Machina,1988-10-03
8,nm5397459,2016-11-20,2016-11-20,,Daisy Ridley,Star Wars: Episode VII - The Force Awakens,1992-04-10
9,nm2247245,2016-11-20,2016-11-20,,Haley Bennett,The Magnificent Seven,1988-01-07
10,nm0000138,2016-11-20,2016-11-20,,Leonardo DiCaprio,Inception,1974-11-11
11,nm0428065,2016-11-20,2016-11-20,,Felicity Jones,Rogue One,1983-10-17
12,nm1631269,2016-11-20,2016-11-20,,Chloë Grace Moretz,Let Me In,1997-02-10
13,nm1275259,2016-11-20,2016-11-20,,Alexandra Daddario,Baywatch,1986-03-16
14,nm4043618,2016-11-20,2016-11-20,,Tom Holland,Spider-Man: Homecoming,1996-06-01
15,nm1720028,2016-11-20,2016-11-20,,Amber Heard,Aquaman,1986-04-22
16,nm2225369,2016-11-20,2016-11-20,,Jennifer Lawrence,The Hunger Games,1990-08-15
17,nm1659221,2016-11-20,2016-11-20,,Sebastian Stan,Captain America: The Winter Soldier,1982-08-13
18,nm3849842,2016-11-20,2016-11-20,,Sophie Turner,Game of Thrones,1996-02-21
19,nm0147147,2016-11-20,2016-11-20,,Henry Cavill,Man of Steel,1983-05-05
20,nm3034501,2016-11-20,2016-11-20,,Natalia Dyer,Stranger Things,1995-01-13
21,nm0488953,2016-11-20,2016-11-20,,Brie Larson,Room,1989-10-01
22,nm0939697,2016-11-20,2016-11-20,,Evan Rachel Wood,Thirteen,1987-09-07
23,nm0005351,2016-11-20,2016-11-20,,Ryan Reynolds,Deadpool 2,1976-10-23
24,nm0001467,2016-11-20,2016-11-20,,Jared Leto,Dallas Buyers Club,1971-12-26
25,nm3485845,2016-11-20,2016-11-20,,Adam Driver,Star Wars: Episode VII - The Force Awakens,1983-11-19
26,nm0002907,2016-11-20,2016-11-20,,Alexander Skarsgård,The Legend of Tarzan,1976-08-25
27,nm3510471,2016-11-20,2016-11-20,,Sam Claflin,The Hunger Games: Catching Fire,1986-06-27
28,nm0604742,2016-11-20,2016-11-20,,Jeffrey Dean Morgan,Watchmen,1966-04-22
29,nm0647634,2016-11-20,2016-11-20,,Elizabeth Olsen,Martha Marcy May Marlene,1989-02-16
30,nm1754059,2016-11-20,2016-11-20,,Natalie Dormer,Game of Thrones,1982-02-11
31,nm1200692,2016-11-20,2016-11-20,,Eva Green,Casino Royale,1980-07-06
32,nm0935541,2016-11-20,2016-11-20,,Mary Elizabeth Winstead,10 Cloverfield Lane,1984-11-28
33,nm0515116,2016-11-20,2016-11-20,,Blake Lively,Gossip Girl,1987-08-25
34,nm1089991,2016-11-20,2016-11-20,,Tom Hiddleston,The Avengers,1981-02-09
35,nm1154749,2016-11-20,2016-11-20,,Sofia Boutella,Star Trek Beyond,1982-04-03
36,nm1601397,2016-11-20,2016-11-20,,Olivia Munn,The Newsroom,1980-07-03
37,nm0424060,2016-11-20,2016-11-20,,Scarlett Johansson,Lost in Translation,1984-11-22
38,nm0914612,2016-11-20,2016-11-20,,Emma Watson,The Perks of Being a Wallflower,1990-04-15
39,nm5353321,2016-11-20,2016-11-20,,Cara Delevingne,Suicide Squad,1992-08-12
40,nm0002239,2016-11-20,2016-11-20,,Prince,Under the Cherry Moon,1958-06-07
41,nm0182839,2016-11-20,2016-11-20,,Marion Cotillard,La Môme,1975-09-30
42,nm0571952,2016-11-20,2016-11-20,,Kate McKinnon,Ghostbusters,1984-01-06
43,nm1379938,2016-11-20,2016-11-20,,Travis Fimmel,Warcraft,1979-07-15
44,nm0000213,2016-11-20,2016-11-20,,Winona Ryder,Little Women,1971-10-29
45,nm0947338,2016-11-20,2016-11-20,,Anton Yelchin,Star Trek,1989-03-11
46,nm0000614,2016-11-20,2016-11-20,,Alan Rickman,Die Hard,1946-02-21
47,nm2442289,2016-11-20,2016-11-20,,Gina Carano,Haywire,1982-04-16
48,nm0001614,2016-11-20,2016-11-20,,Lori Petty,Tank Girl,1963-10-14
49,nm1745736,2016-11-20,2016-11-20,,Paula Patton,Mission: Impossible - Ghost Protocol,1975-12-05
50,nm1954240,2016-11-20,2016-11-20,,Teresa Palmer,Lights Out,1986-02-26
51,nm2552034,2016-11-20,2016-11-20,,Melissa Benoist,Supergirl,1988-10-04
52,nm0940362,2016-11-20,2016-11-20,,Shailene Woodley,Divergent,1991-11-15
53,nm0396924,2016-11-20,2016-11-20,,Carice van Houten,Game of Thrones,1976-09-05
54,nm3117836,2016-11-20,2016-11-20,,Aaron Tveit,Les Misérables,1983-10-21
55,nm0001860,2016-11-20,2016-11-20,,Alicia Witt,88 Minutes,1975-08-21
56,nm1289434,2016-11-20,2016-11-20,,Emily Blunt,Edge of Tomorrow,1983-02-23
57,nm0000793,2016-11-20,2016-11-20,,Alexis Arquette,Pulp Fiction,1969-07-28
58,nm0000698,2016-11-20,2016-11-20,,Gene Wilder,Willy Wonka & the Chocolate Factory,1933-06-11
59,nm1589279,2016-11-20,2016-11-20,,Emily Ratajkowski,We Are Your Friends,1991-06-07
60,nm0000136,2016-11-20,2016-11-20,,Johnny Depp,Sweeney Todd: The Demon Barber of Fleet Street,1963-06-09
61,nm0000255,2016-11-20,2016-11-20,,Ben Affleck,Argo,1972-08-15
62,nm1537825,2016-11-20,2016-11-20,,Sam Heughan,Outlander,1980-04-30
63,nm0397171,2016-11-20,2016-11-20,,Bryce Dallas Howard,Jurassic World,1981-03-02
64,nm0000492,2016-11-20,2016-11-20,,Jennifer Jason Leigh,The Hateful Eight,1962-02-05
65,nm2584600,2016-11-20,2016-11-20,,Julianne Hough,Rock of Ages,1988-07-20
66,nm0262635,2016-11-20,2016-11-20,,Chris Evans,The Avengers,1981-06-13
67,nm0000093,2016-11-20,2016-11-20,,Brad Pitt,Ad Astra,1963-12-18
68,nm7140802,2016-11-20,2016-11-20,,Gaten Matarazzo,Stranger Things,2002-09-08
69,nm0004802,2016-11-20,2016-11-20,,Linda Cardellini,Scooby-Doo,1975-06-25
70,nm0000705,2016-11-20,2016-11-20,,Robin Wright,Forrest Gump,1966-04-08
71,nm1083271,2016-11-20,2016-11-20,,Megan Fox,Transformers,1986-05-16
