"","movie_id","revenue","budget","holiday_month","genre_Action","genre_Adventure","genre_Fantasy","genre_Science Fiction","genre_Crime","genre_Drama","genre_Thriller","genre_Animation","genre_Family","genre_Western","genre_Comedy","genre_Romance","genre_Horror","genre_Mystery","genre_History","genre_War","genre_Music","genre_Documentary","genre_Foreign","topDirector","topActor","CastGenderAVG"
"1",1,2787965087,237000000,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.625
"2",2,9.61e+08,300000000,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.83333333333333
"3",3,880674609,245000000,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.80882352941176
"4",4,1084939099,250000000,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.86904761904762
"5",5,284139100,260000000,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.76
"6",6,890871626,258000000,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.37078651685393
"7",7,591794936,260000000,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1.8
"8",8,1405403694,280000000,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.66666666666667
"9",9,933959197,250000000,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1.58536585365854
"10",10,873260194,250000000,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.67741935483871
"11",11,391081192,270000000,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.66666666666667
"12",12,586090727,200000000,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.66666666666667
"13",13,1065659812,200000000,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.86206896551724
"14",14,89289910,255000000,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1.84615384615385
"15",15,662845518,225000000,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.71428571428571
"16",16,419651413,225000000,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.76190476190476
"17",17,1519557910,220000000,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.71134020618557
"18",18,1045713802,380000000,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.89285714285714
"19",19,624026776,225000000,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.75
"20",20,956019788,250000000,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.84375
"21",21,752215857,215000000,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64
"22",22,310669540,200000000,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.81481481481481
"23",23,958400000,250000000,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.84615384615385
"24",24,372234864,180000000,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.63636363636364
"25",25,5.5e+08,207000000,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.95238095238095
"26",26,1845034188,200000000,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1.58333333333333
"27",27,1153304495,250000000,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.75
"28",28,303025485,209000000,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.84375
"29",29,1513528810,150000000,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.66666666666667
"30",30,1108561013,200000000,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.57142857142857
"31",31,783766341,200000000,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6734693877551
"32",32,1215439994,200000000,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.77777777777778
"33",33,1025491110,200000000,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1.51515151515152
